"itemid";"clock";"num";"value_min";"value_avg";"value_max"
159138;1563192000;60;170651112;222446310;245355432
159138;1563188400;60;92258968;156333926;245517360
159138;1563184800;60;29854256;73581269;121096792
159138;1563181200;60;333720;12801917;43525128
159138;1563177600;60;183976;1146488;11797152
159138;1563174000;60;147520;1271715;10617720
159138;1563170400;60;172960;925170;3531528
159138;1563166800;60;147920;992344;7077544
159138;1563163200;60;184448;1235100;3698824
159138;1563159600;60;368520;1975065;6291176
159138;1563156000;60;878856;3235895;13906896
159138;1563152400;60;492288;2752511;18415096
159138;1563148800;60;400376;3547871;13831400
159138;1563145200;60;470576;2513272;6374992
159138;1563141600;60;427584;2605152;7746536
159138;1563138000;60;397176;1955073;9500232
159138;1563134400;60;358536;3314536;14236984
159138;1563130800;60;585120;3033562;15519360
159138;1563127200;60;356056;2307945;13598464
159138;1563123600;60;328136;2471750;13135472
159138;1563120000;60;1014992;4990734;20705928
159138;1563116400;60;422032;4195262;13764616
159138;1563112800;60;1088032;8293601;24620104
159138;1563109200;60;778120;5541161;35611664
159138;1563105600;60;307472;4821423;19644752
159138;1563102000;60;1016912;6062951;42949136
159138;1563098400;60;162224;1920671;6284032
159138;1563094800;60;147880;1446076;11987432
159138;1563091200;60;159512;1492599;9429576
159138;1563087600;60;534552;2212450;8413576
159138;1563084000;60;215448;1413459;6060712
159138;1563080400;60;1045432;4592518;16166952
159138;1563076800;60;1197272;5563117;33615144
159138;1563073200;60;896952;2727857;11635304
159138;1563069600;60;567328;2324814;8483600
159138;1563066000;60;696000;5105630;16255192
159138;1563062400;60;637664;5622541;18469952
159138;1563058800;59;349416;2903465;9401408
159138;1563055200;60;285096;1755050;5513696
159138;1563051600;60;336480;1375333;5344776
159138;1563048000;60;702512;5468670;40295104
159138;1563044400;60;3511848;12946503;35692360
159138;1563040800;60;6071600;25993048;53816192
159138;1563037200;60;14559808;35996317;69147704
159138;1563033600;60;16691408;30869613;63707816
159138;1563030000;60;9038832;22014692;43151800
159138;1563026400;60;18431264;36385888;65531360
159138;1563022800;60;20396712;43813561;101931680
159138;1563019200;60;18360904;30570130;61483616
159138;1563015600;60;10597664;25239881;48162104
159138;1563012000;60;1966880;11464711;30490696
159138;1563008400;60;231728;1956529;13030360
159138;1563004800;60;224928;1805014;12055408
159138;1563001200;60;342776;2147166;4653008
159138;1562997600;60;214640;1185307;3605664
159138;1562994000;60;332104;2000516;9471328
159138;1562990400;60;845632;2961382;14186200
159138;1562986800;60;938600;2547546;9061600
159138;1562983200;60;837064;2412412;15330720
159138;1562979600;60;886712;3310744;8328592
159138;1562976000;60;5350672;29275784;72616928
159138;1562972400;60;51448024;99738096;199983304
159138;1562968800;60;84139648;123237588;227556632
159138;1562965200;60;100193136;143382806;229797800
159138;1562961600;60;104535904;142568871;245652240
159138;1562958000;60;132086248;203959482;248141752
159138;1562954400;60;240448088;244652027;247660800
159138;1562950800;60;230597992;243021656;247865592
159138;1562947200;60;229321240;243511588;245790400
159138;1562943600;60;182357376;226489040;248219488
159138;1562940000;60;202869312;233345059;245661888
159138;1562936400;60;186556456;235006284;245956304
159138;1562932800;60;154316696;232037266;245744992
159138;1562929200;60;103432824;175739404;243609440
159138;1562925600;60;34990040;75734421;146901360
159138;1562922000;60;1081784;15610366;47718936
159138;1562918400;60;401400;4228861;17566264
159138;1562914800;60;957992;3654396;9127488
159138;1562911200;60;433896;2681678;12286392
159138;1562907600;60;471080;2937521;9784256
159138;1562904000;60;404440;3918815;13464688
159138;1562900400;59;438000;4534189;19353504
159138;1562896800;60;1204792;5992390;24002464
159138;1562893200;60;2331872;6616769;17264984
159138;1562889600;60;7943112;42668006;112858592
159138;1562886000;60;49509224;92667427;180205176
159138;1562882400;60;86144768;123522399;201869760
159138;1562878800;60;84920512;159085227;245562960
159138;1562875200;60;144827504;173583127;225264016
159138;1562871600;60;173972656;214992743;245335848
159138;1562868000;60;225802600;243924258;247881552
159138;1562864400;60;243361552;244906131;247979888
159138;1562860800;60;243283176;245178946;248041008
159138;1562857200;60;244358512;245182559;248546088
159138;1562853600;60;219651144;242617507;246983416
159138;1562850000;60;240951576;244249080;247522192
159138;1562846400;60;182091936;238988545;244746712
159138;1562842800;60;110828536;181606119;228457584
159138;1562839200;60;48284632;86155089;154587312
159138;1562835600;60;795696;16654949;47424032
159138;1562832000;60;328640;2013718;13814416
159138;1562828400;60;474288;3657801;12775200
159138;1562824800;60;741056;3822729;16980920
159138;1562821200;60;991688;3140440;8220168
159138;1562817600;60;568960;3297577;16581696
159138;1562814000;60;1035496;4369133;18967728
159138;1562810400;60;1810624;7166232;49469632
159138;1562806800;60;3169576;7266740;35180280
159138;1562803200;60;14622024;44020824;79100952
159138;1562799600;60;56079072;109882598;207996552
159138;1562796000;60;83737920;133783077;217221712
159138;1562792400;60;97898880;129982388;174283856
159138;1562788800;60;142009912;194902622;244390608
159138;1562785200;60;228952384;244850672;247725592
159138;1562781600;60;244951680;245211560;248110360
159138;1562778000;60;244814008;245161697;247876768
159138;1562774400;60;244893808;245118757;248076904
159138;1562770800;60;243047048;245165494;247633696
159138;1562767200;60;191117264;235493811;246683216
159138;1562763600;60;244477016;244921901;247648320
159138;1562760000;60;244715008;245181852;248086312
159138;1562756400;60;131612144;198055585;245410312
159138;1562752800;60;39993544;95272099;191759496
159138;1562749200;60;975248;15822604;49531712
159138;1562745600;60;350336;2901829;11679448
159138;1562742000;60;262360;2438220;29462384
159138;1562738400;60;286152;2304965;34680704
159138;1562734800;60;289272;2350858;13104696
159138;1562731200;60;500600;3861413;16626784
159138;1562727600;28;1333512;3398768;10228568
159138;1562724000;60;715120;4958564;19231144
159138;1562720400;60;1087384;8659150;28127752
159138;1562716800;60;9921760;39088827;104226912
159138;1562713200;60;43731312;77522704;133019144
159138;1562709600;60;87219120;128865558;195125232
159138;1562706000;60;98284048;130790292;184332776
159138;1562702400;60;104846744;151067709;232304976
159138;1562698800;60;171702304;230268739;248038512
159138;1562695200;60;244357824;245142628;247768304
159138;1562691600;60;244799920;245220354;247951616
159138;1562688000;60;244132112;245103971;248125896
159138;1562684400;60;237116640;244895232;245900904
159138;1562680800;60;208726928;238611103;247939640
159138;1562677200;60;163861432;219400729;245260888
159138;1562673600;60;153808496;202994432;244471312
159138;1562670000;60;113851056;167164223;223329840
159138;1562666400;60;40174544;96528639;150408008
159138;1562662800;60;925904;15024348;44718784
159138;1562659200;59;308688;2004528;9221368
159138;1562655600;60;292976;1339219;5078232
159138;1562652000;60;288840;1330114;4370920
159138;1562648400;60;584488;3527815;9137432
159138;1562644800;60;450912;2083933;8055240
159138;1562641200;60;576464;1814756;6912048
159138;1562637600;60;1436920;5110817;11994288
159138;1562634000;60;2404384;8205670;25085768
159138;1562630400;60;15995960;54705407;110286264
159138;1562626800;60;49522896;78390774;125019808
159138;1562623200;60;66968224;109678013;157358240
159138;1562619600;60;87766696;134971707;198480288
159138;1562616000;60;115673968;155180812;233128656
159138;1562612400;60;153808216;215194476;244566680
159138;1562608800;60;200632600;238119108;247407240
159138;1562605200;60;200365904;241362576;247906888
159138;1562601600;60;187583688;240196359;248122536
159138;1562598000;60;170243408;220307815;245460232
159138;1562594400;60;172344360;219351592;245060256
159138;1562590800;60;186398488;228347036;245576744
159138;1562587200;60;98617312;182043821;241569280
159138;1562583600;60;76479280;146188095;232994744
159138;1562580000;60;26730008;67973989;131980632
159138;1562576400;60;974080;10192775;35132712
159138;1562572800;60;140368;1074376;12147320
159138;1562569200;60;164912;2172196;7297992
159138;1562565600;60;143872;1822620;4557512
159138;1562562000;60;197600;1207034;3227848
159138;1562558400;60;196688;3964460;16289480
159138;1562554800;60;710488;4112802;14269616
159138;1562551200;60;815208;6276487;30792616
159138;1562547600;60;1826128;3333609;12054696
159138;1562544000;60;1049056;3808044;27359528
159138;1562540400;60;1620176;5060367;16691040
159138;1562536800;60;331440;3194763;9391968
159138;1562533200;60;289160;1742849;4087800
159138;1562529600;60;778408;2184843;10672712
159138;1562526000;60;722072;3750149;33369520
